,Filter,Orignal
135,good afternoon jayden sadly information sincerest apologies,"@115759 Good afternoon Jayden, sadly we don't have information on that. Sincerest apologies. ^JP"
136,half gig update world war,@115758 Why was there a half gig update for world at war?
137,awesome thank much support love costumes,@115760 This is awesome! Thank you so much for the support! Love the costumes! ^TV
138,tried people came back,@108162 @115761 @ATVIAssist tried that there was people so i came back
139,hey there check link information regards,@115762 Hey there! You can check out this link for more information in regards to this - https://t.co/OZIlONCLtF ^KO
140,so go get game friday xp code receipt,"@ATVIAssist So, when I go get the game on friday my 2xp code will be on the receipt?"
141,gamestop give code pre order payment needed redeem,@115762 Did gamestop give you a code with your pre order down payment that you needed to redeem? ^KO
142,yes beta code,"@ATVIAssist Yes, the beta code"
143,redeemed account even tho says beta code pre order bonus linked,"@115762 Have you redeemed that on your https://t.co/4YBn633EOk account? Even tho it says beta code, your pre order bonus are linked. ^KO"
144,yes have code their,"@ATVIAssist Yes I have, so my code is on their?"
145,pre ordered game game stop,@ATVIAssist I pre ordered my game at game stop
146,hello there apologize delay clarify preordered game please sure keep us updated,"@115762 Hello there, I apologize for the delay. Can you clarify where you pre-ordered the game? Please be sure you keep us updated. ^RN"
147,double xp,@ATVIAssist For double xp^
148,pre ordered wwii get code,@ATVIAssist i pre ordered wwii but how do i get the code?
149,please give gamertag platform playing pull account information,@115763 Can you please give me your gamertag / platform you're playing on so I can pull up your account information. ^CB
150,sethtubbs ps,@ATVIAssist Seth_tubbs and I am on PS4
151,got stats reset mwr know please help,@ATVIAssist I got all of my stats reset on MWR and I don't know why. please help!!!
152,unfortunately information please stay tuned updates,"@115764

Unfortunately we don't have any information on this. Please stay tuned for more updates. ^JW"
153,non season pass holders get bobus man carentan point all,"@115754 @115765 @ATVIAssist @115766 

Will non season pass holders get the bobus man Carentan at any point? Or not at all?"
154,sorry simple let us know steps video work need help,@115767 Sorry that this isn't more simple... let us know if the steps in the video work out or if you need further help ^Madison
155,work tried another computer fresh install thing,"@AdobeCare Didn't work. Tried it on another computer, fresh install, same thing..."
156,would please dm adobe product amp purchase details ask experts follow,@115767 Would you please DM the Adobe Product &amp; your purchase details that you have so that we can ask our experts to follow up. ^Raj https://t.co/iuwZCjz4Or
157,sure thing,@AdobeCare sure thing
158,ctrlaltshift load method work,@AdobeCare the ctrl+alt+shift on load method didn't work. (2/2)
159,hi jason could please try resetting preferences photoshop amp let us know helps issue,"@115767 Hi Jason, could you please try resetting the preferences of Photoshop &amp; let us know if it helps with the issue https://t.co/j3Dj2HDknM   ^SC"
160,pretty much explained issue quoted twee dragging image onto canvas longer center snaps,@AdobeCare Pretty much explained my issue in the quoted tweet... dragging an image onto a canvas no longer center snaps it...
161,hi jason please let us know anything help thanks,"@115767 Hi Jason, please let us know if there is anything we can do to help. Thanks! ^AJ https://t.co/iuwZCjz4Or"
162,help,Any help here @AdobeCare? https://t.co/x50e57UG4E
163,hi jeffrey able update lightroom classic cc,"@115768 Hi Jeffrey, were you able to update to Lightroom Classic CC?   ^Tanuj"
164,nope still,@AdobeCare nope still down.
165,tried signing outback reinstalling cc desktop app let us know,@115768 Have you tried signing out/back in or reinstalling the CC desktop app? https://t.co/Ne2f7tDTM0 Let us know! ^Madison
166,yes ive done multiple times happened previous versions well,@AdobeCare yes ive done that multiple times. its happened on previous versions as well.
167,thanks confirming were looping expert help reply soon theyre available,@115768 Thanks for confirming. We're looping in an expert who can help you out here. They will reply as soon as they're available. ^Madison
168,ok,@AdobeCare ok
169,sowhen available,@AdobeCare so..when are they available?
170,sorry let request expert look asap office,@115768 Sorry for this. Let me request the expert to look into this ASAP as he is in office. ^Raj
171,ok frustrating multiple jobs need finished application isnt helping,@AdobeCare ok. its been very frustrating. i have multiple jobs that i need finished and your application isnt helping.
172,hi jeffrey wanted check managed install lightroom classic cc please let us know need assistance,"@115768 Hi Jeffrey, we wanted to check if you had managed to install Lightroom Classic CC. Please let us know if you need further assistance. ^NR https://t.co/iuwZCjz4Or"
173,still broken deleted probably getting rid membership return working properly thanks,@AdobeCare no its still broken. i deleted it and will probably be getting rid of my membership and return when its working properly. thanks
174,jeffrey use process listed delete lightroom classic cc,@115768 Jeffrey did you use the process listed in https://t.co/ccvXXUvXuT to delete Lightroom Classic CC? ^Jeff
175,ill wait next big update ive wasted time patience adobe products,@AdobeCare ill just wait for the next big update. ive wasted my time and patience with adobe products
176,jeffrey sorry hear face future errors please review installation logs,@115768 Jeffrey I am sorry to hear that. If you face future errors please review the installation logs. https://t.co/okPwBIqSxR ^Jeff
177,yea ive done everything guys told know mac either retina imac fairly new,@AdobeCare yea ive done everything you guys told me to do. i know its not my mac either as i have the retina imac which is fairly new.
178,hi there looping expert team help answer question thanks,"@115768 Hi there, I am looping our expert team to help answer your question. Thanks! ^MC"
179,guys saying weeks product went great unable work terrible disappointed,@AdobeCare you guys have been saying that for weeks now. your product went from being great to now unable to work and terrible. very disappointed.
180,whats going app totally stuck hour prior updating froze didnt work since updating,@115769 whats going on with your app. its totally stuck here for 1 hour and prior to updating froze and didnt work since updating. https://t.co/UpoCzPNqFb
181,fire tv stick et,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET
182,,"@AmazonHelp ありがとうございます。
今、電話で主人が対応していただいてます。"
183,,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。"
184,et,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET
185,,@AmazonHelp こちらこそありがとうございました。
186,et,@115770 恐れ入ります。至らない点も多々あるかとは存じますが、今後ともどうぞよろしくお願いします。ET
187,amazonfiretvstick,amazonのfireTVstickが見れない😢
188,hi change microsoft account email steps here email son wants change already associated microsoft account need follow steps switch email address account,"@115771 Hi, you can change your Microsoft account email through the steps here: https://t.co/DkEhOHbOYy . If the email your son wants to change to is already associated with a Microsoft account, you'll need to follow those steps to switch the email address on that account too. ^ZM"
189,change sons xbox live account hotmail account currently linked hotmail account,"@XboxSupport can I change me sons Xbox live account to his Hotmail account, currently linked to my Hotmail account"
190,hi there lightroom update launched recently please update app latest version,"@115772 Hi there, Lightroom 7.0.1 update was launched recently, please update the app to the latest version.  ^TS"
191,u release update today lightroom classic cc,@115769 Did u release an update today for Lightroom Classic CC?
192,hi there please dm us adobe id may quick look account details,"@115773 Hi there, please DM us you Adobe id so that we may have a quick look at your account details.   ^Tanuj https://t.co/iuwZCjz4Or"
193,please tell expired im still charged,"Please tell me why my @115769 has expired, but I’m still being charged????"
194,hi there may suggest feature request at,"@115774 Hi there, you may suggest it as a feature request at: https://t.co/SE1u3g161W .  ^Tanuj"
195,plans add fast crop mode ipad version lr takes many taps slows workflow,@115769 are there any plans to add a fast crop mode for the iPad version of LR? It takes too many taps and slows down workflow.
196,thanks sharing file well get back updates investigate,"@115775 Thanks for sharing the file, we'll get back to you with updates as we investigate. ^Wren"
197,its intermittent file fails reliably “ create subfolder ” option makes empty “ svg ” folder,"@AdobeCare @115776 It’s intermittent for me. This file fails reliably: https://t.co/6m5a1RQEV9

The “Create subfolder” option just makes an empty “svg” folder"
198,unfortunately able reproduce end ill still checking development team find,"@115776 Unfortunately, we are not able to reproduce it at our end. I'll still be checking with the development team to find out more on this. ^OM https://t.co/3giRhN4vNJ"
199,seems pretty widespread mean jerk frustrating update breaks core functionality,"@AdobeCare Seems pretty widespread: https://t.co/ImomzTHO5j

Don't mean to be a jerk, but it's frustrating when an update breaks core functionality."
200,hi keelin sorry inconvenience able export svg ai cc would mind sharing workflow sample filescreenshot,"@115776 Hi Keelin,
Sorry for the inconvenience. I am able to export SVG in AI CC 2018. Would you mind sharing your workflow, sample file/screenshot? https://t.co/iuwZCjz4Or"
201,apparently new version cool feature cant export svgs sick update guys,So apparently the new version of @115777 @115778 has this cool feature where you can't export SVGs. Sick update guys.
202,hi duncan please update lightroom following link,"@115779 Hi Duncan, please update Lightroom to 6.13 from the following link: https://t.co/9vaI2tzHd6 .  ^Tanuj"
203,im worried update lr standalone programme could lose due new online versionis true fair,@115769 I'm worried as if I update my LR6 standalone programme I could lose it due to the new online version....is this true and if so is this fair!
204,whoa come along lightrooms ben warde get lowdown,"Whoa! Come along with Lightroom’s own Ben Warde to get the lowdown: https://t.co/f1FGfdJaNk
https://t.co/6fsIV6WLRV"
205,hi lauren try changing forum screen name trick,"@115780 Hi Lauren, can you try changing your forum screen name at https://t.co/gF69gbjWAQ? That should do the trick! ^Madison"
206,online forum always broken even clear cookies,@115777 your online forum is always broken even when I clear my cookies. https://t.co/dDwRPWnm3t
207,hi jake screenshots share export settings happening files links,"@115781 Hi Jake, any screenshots you can share? What are you export settings? Is this happening on all files with links? ^Wren"
208,example export export settings unchanged default no files,"@AdobeCare Here is an example of an export before and after. Export settings are unchanged from default. No, only some files. https://t.co/YbCX6dmddc"
209,hi jack way could send file try exporting end try replicate,"@115781 Hi Jack, is there any way you could send me a file to try exporting on my end to try and replicate? ^Wren https://t.co/iuwZCjz4Or"
210,hi jack were looping expert back conversation thanks,"@115781 Hi Jack, we're looping the expert back into this conversation. Thanks! ^AJ"
211,solved via phone support,@AdobeCare Solved this via phone support
212,indesign exporting pdfs blurry links links missing indd file jpg export blurry help,"@AdobeCare InDesign 13.0 is exporting all PDFs with blurry links, but links are not missing in INDD file. JPG export is not blurry. Help!"
213,thank responded dm information,@115782 Thank you for that. We have responded to your DM with more information.
214,ive sent message details thanks help,@AirbnbHelp I've just sent you a message with details. Thanks for your help
215,hi there would like help please dm us accounts email reservation code assist thank,"@115782 Hi there, we would like to help. Please DM us your account's email and reservation code so we can further assist. Thank you."
216,quand ton ne ressemble pas à celui que tu réservé amp quen dêtre sale et en soussol tu te retrouves à dans,"Quand ton @115783 ne ressemble pas à celui que tu as réservé, &amp; qu'en + d'être sale et en sous-sol, tu te retrouves à 10 dans 1 #logement ! https://t.co/BcEIHe38tq"
217,sorry hear please dm email address reservation code look thank,@115784 We are sorry to hear this. Please DM your email address and reservation code so we can look into this for you. Thank you.
218,misrepresentation host asked cancel reservation refund aud strict policy response please help,@115783 Misrepresentation by host. Asked them to cancel my reservation and refund me over AUD1700 - strict policy. No response. Please help.
219,hi there wed recommend reaching chat team here,@115785 Hi there! We'd recommend reaching out to the chat team here: https://t.co/UrUi80i54l ^JA
220,info either,@XboxSupport They have no info either..
221,wed recommend keeping eye email associated account info,@115785 We'd recommend keeping an eye out on your email that is associated with your account for further info.  ^JA
222,lol theres one say theyre going shipped thats kinda weird,@XboxSupport Lol so there's no one @115786 who can say when they're going to be shipped...? That's kinda weird
223,someone knows xbox one x ships let us know lol b mystery,@XboxSupport @115786 When someone @115786 or @15913 @115787 @115788 knows when the xbox one x ships let us know.  Lol shouldn't b a mystery..
224,preorder console via microsoft store so lets reach here,"@115785 @115786 Did you pre-order this console via the Microsoft store? If so, then let's have you reach out here: https://t.co/jY7fDjTzLd ^JA"
225,kinda need make sure cdn bank would nice kno dun cash laying around ya know,"@XboxSupport @115786 Kinda need to make sure I have 680$ cdn in my bank, so would be nice to know.. I dun just have cash laying around ya know #RealLifeStruggles"
226,already call one answer question im trying jerk nuts one answer,@XboxSupport @115786 Already did they had me call and no one can answer the question.  I'm not trying to be a jerk but it's nuts no one has a answer..
227,would like know make sure enough money,@XboxSupport @115786 @115787 @15913 Would like to know so I can make sure I have enough money for it...
228,anyone let know pre orders going shipped xbox one x,@XboxSupport @115786 @115787 @15913 can anyone let me know when our pre orders are going to be shipped for xbox one x??
229,hello would mind following us sending dm gamertag code redeemed,@115789 Hello! Would you mind following us and sending a DM with your gamertag and the code you redeemed?  ^RR
230,redeemed code fifa points afternoon still got this,@115790 @XboxSupport redeemed a code for fifa points this afternoon and still haven't got it. Why is this?
231,show us appearing screen,@115791 Can you show us what is appearing on your screen? ^RM
232,whats screen sure xbox side side thats broken last time call head office it,@XboxSupport This is what's on my screen? Not sure if it's Xbox side or my5 side that's broken? Last time it was my5 as had to call head office about it! https://t.co/jnMIVOlNbS
233,app xboxes working error code done power cycle still same please fix app,"@1520 @XboxSupport  the 5 app on Xboxes not working error code 200, done a power cycle and still the same? Please fix app"
234,gt et,@115792 ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。https://t.co/NtNAX2Qh2u ET
235,amazon,amazonプライムビデオ、再生エラーが多いです
236,hi emergency services dealing incident info here,"@115793 @115794 Hi. Emergency services are dealing with an incident, info here: https://t.co/XSpQ4dhtvk"
237,colleagues info affecting services thanks,"@115794 @115795 my colleagues @nationalrailenq for more info on how this is affecting services, thanks. 2/2 ^JP"
238,ah maybe could help one,@115795 @115796 Ah maybe @115793 could help on this one
